#{"t_start": 1621568387.765816, "env_id": null}
r,l,t
1.261905,12,43.161451
-0.833333,8,43.240234
1.214286,10,43.530212
-0.619048,17,43.727459
1.285714,13,43.863366
1.333333,15,44.003416
1.166667,8,44.079604
1.166667,8,44.161311
-9.785714,10,44.413799
1.214286,10,44.512678
1.142857,7,44.580337
1.238095,11,44.682597
-0.809524,9,44.780337
-0.809524,9,44.886489
-9.595238,18,45.039612
1.285714,13,45.14899
-0.619048,17,45.300263
-0.857143,7,45.364282
1.142857,7,45.42532
1.214286,10,45.511866
-0.857143,7,45.574018
-9.738095,12,45.82754
1.190476,9,45.912892
1.071429,4,45.948138
-9.690476,14,46.072509
1.214286,10,46.168941
-0.738095,12,46.297461
-9.714286,13,46.402521
1.166667,8,46.472117
-0.880952,6,46.532159
1.309524,14,46.669429
1.309524,14,46.781175
1.214286,10,46.869395
-0.761905,11,47.153413
-9.666667,15,47.333463
-9.761905,11,47.422902
-0.714286,13,47.541395
-9.666667,15,47.690606
1.142857,7,47.756859
-9.833333,8,47.841519
1.214286,10,47.939387
-9.809524,9,48.011756
1.190476,9,48.093937
1.119048,6,48.157
1.119048,6,48.20992
-0.809524,9,48.293797
-0.809524,9,48.520187
-0.785714,10,48.621098
-0.714286,13,48.73903
-9.761905,11,48.828455
1.095238,5,48.875451
1.190476,9,48.955235
1.095238,5,49.008059
1.095238,5,49.055027
1.119048,6,49.115658
-0.714286,13,49.230868
1.214286,10,49.325421
1.285714,13,49.430035
1.190476,9,49.526975
1.238095,11,49.630913
1.285714,13,49.871134
-0.738095,12,49.981617
-0.785714,10,50.064947
-9.690476,14,50.180209
-9.714286,13,50.287376
1.166667,8,50.36026
1.166667,8,50.429807
-9.738095,12,50.527342
1.166667,8,50.602999
1.142857,7,50.660663
-0.761905,11,50.762842
-0.738095,12,50.872622
-9.666667,15,51.148322
1.261905,12,51.247528
-0.714286,13,51.400954
-0.761905,11,51.502764
1.214286,10,51.604084
-0.809524,9,51.696234
1.166667,8,51.766698
1.214286,10,51.856506
-0.738095,12,51.97022
-0.785714,10,52.062811
-9.738095,12,52.164797
-9.761905,11,52.404029
-0.857143,7,52.469791
